Year,PADD,Volume (m3/d),Volume (bbl/d)
1986,PADD I,9052.2,56964.2
1986,PADD II,67353.1,423843.3
1986,PADD III,2119.0,13334.9
1986,PADD IV,10020.3,63056.6
1986,PADD V,3853.4,24248.7
1986,Other,Confidential,Confidential
1986,Total,Confidential,Confidential
1987,PADD I,8553.0,53823.0
1987,PADD II,75771.7,476820.3
1987,PADD III,Confidential,Confidential
1987,PADD IV,10834.0,68177.1
1987,PADD V,2199.0,13837.8
1987,Other,629.9,3964.0
1987,Total,Confidential,Confidential
1988,PADD I,10056.4,63283.8
1988,PADD II,85113.4,535606.3
1988,PADD III,Confidential,Confidential
1988,PADD IV,11017.9,69333.8
1988,PADD V,2419.1,15223.1
1988,Other,2487.0,15650.5
1988,Total,Confidential,Confidential
1989,PADD I,8679.2,54616.9
1989,PADD II,75678.2,476232.0
1989,PADD III,Confidential,Confidential
1989,PADD IV,11822.3,74396.0
1989,PADD V,3363.1,21163.8
1989,Other,1810.9,11396.0
1989,Total,Confidential,Confidential
1990,PADD I,8559.2,53861.9
1990,PADD II,78733.2,495456.8
1990,PADD III,Confidential,Confidential
1990,PADD IV,12432.2,78234.0
1990,PADD V,1840.0,11579.0
1990,Other,Confidential,Confidential
1990,Total,104192.8,655670.4
1991,PADD I,8514.9,53583.0
1991,PADD II,93870.2,590711.5
1991,PADD III,Confidential,Confidential
1991,PADD IV,14154.9,89074.8
1991,PADD V,1803.3,11348.0
1991,Other,1999.1,12579.8
1991,Total,Confidential,Confidential
1992,PADD I,9272.0,58347.4
1992,PADD II,102051.1,642192.7
1992,PADD III,1711.6,10770.8
1992,PADD IV,15019.3,94514.1
1992,PADD V,3959.5,24916.6
1992,Other,Confidential,Confidential
1992,Total,Confidential,Confidential
1993,PADD I,9155.1,57611.8
1993,PADD II,107913.2,679082.2
1993,PADD III,1416.1,8911.5
1993,PADD IV,16635.4,104684.0
1993,PADD V,11270.9,70926.2
1993,Other,Confidential,Confidential
1993,Total,Confidential,Confidential
1994,PADD I,8984.8,56540.2
1994,PADD II,114277.2,719129.9
1994,PADD III,1880.5,11834.0
1994,PADD IV,19927.8,125403.1
1994,PADD V,11857.3,74616.5
1994,Other,Confidential,Confidential
1994,Total,Confidential,Confidential
1995,PADD I,9509.7,59843.4
1995,PADD II,123557.8,777531.5
1995,PADD III,1332.7,8386.2
1995,PADD IV,19618.9,123459.2
1995,PADD V,14451.5,90941.4
1995,Other,Confidential,Confidential
1995,Total,Confidential,Confidential
1996,PADD I,9458.5,59520.9
1996,PADD II,126791.8,797882.7
1996,PADD III,1351.0,8501.5
1996,PADD IV,21187.6,133330.8
1996,PADD V,17209.4,108296.3
1996,Other,2437.2,15336.9
1996,Total,178435.5,1122869.1
1997,PADD I,9775.8,61517.9
1997,PADD II,143619.0,903773.9
1997,PADD III,964.0,6066.2
1997,PADD IV,22179.0,139569.2
1997,PADD V,16269.7,102382.6
