Year,Oil Type,Volume (m3/d),Volume (bbl/d)
1986,Light,41293.922739,259856.75077
1986,Medium,17667.481095,111178.932087
1986,Heavy,33954.935616,213673.554278
1986,Total,92916.339452,584709.237135
1987,Light,44324.338904,278926.726343
1987,Medium,17656.211506,111108.014174
1987,Heavy,36794.272602,231541.095908
1987,Total,98774.823013,621575.836426
1988,Light,50311.358907,316602.187078
1988,Medium,21339.087923,134283.828813
1988,Heavy,41127.665573,258810.5182
1988,Total,112778.112404,709696.534091
1989,Light,47136.128493,296620.916141
1989,Medium,21401.032328,134673.636097
1989,Heavy,34333.222465,216054.059326
1989,Total,102870.383287,647348.611565
1990,Light,44813.881397,282007.347248
1990,Medium,25184.259452,158480.943383
1990,Heavy,34194.652876,215182.060718
1990,Total,104192.793726,655670.351348
1991,Light,62334.713342,392263.4372
1991,Medium,25001.761917,157332.512497
1991,Heavy,34542.34652,217370.047098
1991,Total,121878.82178,766965.996795
1992,Light,75815.268032,477094.640147
1992,Medium,25583.718306,160994.680828
1992,Heavy,32557.843442,204881.853013
1992,Total,133956.829781,842971.173988
1993,Light,85406.567945,537451.31894
1993,Medium,24862.324109,156455.050309
1993,Heavy,36478.979178,229556.999474
1993,Total,146747.871232,923463.368723
1994,Light,89052.716438,560396.010008
1994,Medium,27782.395068,174830.639284
1994,Heavy,40304.335342,253629.41879
1994,Total,157139.446849,988856.068082
1995,Light,89694.788219,564436.475909
1995,Medium,31790.752908,200054.661974
1995,Heavy,47421.903835,298419.259505
1995,Total,168907.444963,1062910.397388
1996,Light,88178.359562,554893.807224
1996,Medium,38522.669125,242417.648066
1996,Heavy,51734.468852,325557.614459
1996,Total,178435.49754,1122869.069749
1997,Light,82032.151232,516216.597111
1997,Medium,42866.988767,269755.830332
1997,Heavy,68776.050684,432797.851985
1997,Total,193675.190684,1218770.279428
1998,Light,93972.311917,591354.320858
1998,Medium,39037.587397,245657.955116
1998,Heavy,79528.191506,500459.536621
1998,Total,212538.090821,1337471.812595
1999,Light,94317.928821,593529.238613
1999,Medium,31230.979452,196532.087662
1999,Heavy,73417.88378,462008.243875
1999,Total,198966.792054,1252069.57015
2000,Light,102108.420792,642553.690542
2000,Medium,27631.458743,173880.818572
2000,Heavy,89537.159972,563444.543894
2000,Total,219277.039508,1379879.053008
2001,Light,97717.075342,614919.581588
2001,Medium,27471.653698,172875.188279
2001,Heavy,95623.351315,601744.075686
2001,Total,220812.080356,1389538.845554
2002,Light,101370.39063,637909.37227
2002,Medium,29995.308794,188756.188915
2002,Heavy,99715.264657,627493.901207
2002,Total,231080.964082,1454159.462391
2003,Light,101359.32841,637839.759306
2003,Medium,28403.512657,178739.243452
2003,Heavy,113826.88041,716296.281182
2003,Total,243589.721479,1532875.28394
2004,Light,112755.946967,709557.050164
2004,Medium,7932.984562,49921.137437
2004,Heavy,138216.11265,869774.232004
